operation,number,zh,en,ChatGPT_ZH,ChatGPT_ZH_Score,ChatGPT_EN,ChatGPT_EN_Score
identity,62035000,六千二百零三万五千,Sixty-two Million Thirty-five Thousand,六千二百零三万五千。,1,Sixty-two million thirty-five thousand.,1
identity,60030200,六千零三万零二百,Sixty Million Thirty Thousand Two Hundred,六亿零三十二万二百。,0,Sixty million thirty thousand two hundred.,1
identity,60000205,六千万零二百零五,Sixty Million Two Hundred Five,六千万二千零二十五。,0,Sixty million two hundred and five.,1
identity,62035200,六千二百零三万五千二百,Sixty-two Million Thirty-five Thousand Two Hundred,六千二百零三万五千二百。,1,"62,035,200 can be written as ""sixty-two million, thirty-five thousand, two hundred.""",1
identity,60030005,六千零三万零五,Sixty Million Thirty Thousand Five,六千零三十万零五。,0,Sixty million thirty thousand five.,1
identity,60030205,六千零三万零二百零五,Sixty Million Thirty Thousand Two Hundred Five,六千零三十万二千零五。,0,Sixty million thirty thousand two hundred five.,1
identity,4086000,四百零八万六千,Four Million Eighty-six Thousand,四百零八万六千。,1,Four million eighty-six thousand.,1
identity,5094600,五百零九万四千六百,Five Million Ninety-four Thousand Six Hundred,五百零九万四千六百。,1,Five million ninety-four thousand six hundred.,1
identity,21600900,二千一百六十万零九百,Twenty-one Million Six Hundred Thousand Nine Hundred,‘21600900’读作二亿一千六百万九千。,0,Twenty-one million six hundred thousand nine hundred.,1
identity,119000000,一亿一千九百万,One Hundred Nineteen Million,119000000'读作一百一十九 million。,0,One hundred nineteen million.,1
identity,675432,六十七万五千四百三十二,Six Hundred Seventy-five Thousand Four Hundred Thirty-two,六十七万五千四百三十二。,1,Six hundred seventy-five thousand four hundred thirty-two.,1
identity,450594001,四亿五千零五十九万四千零一,Four Hundred Fifty Million Five Hundred Ninety-four Thousand One,四亿五千零五十九万四千零一。,1,Four hundred fifty million five hundred ninety-four thousand one.,1
identity,450703,四十五万零七百零三,Four Hundred Fifty Thousand Seven Hundred Three,四十五万零七百零三。,1,Four hundred fifty thousand seven hundred three.,1
identity,43206798,四百三十二万六千七百九十八,Forty-three Million Two Hundred Six Thousand Seven Hundred Ninety-eight,四千三百二十零六万七千九百九十八。,0,Forty-three million two hundred six thousand seven hundred ninety-eight.,1
identity,754375,七十五万四千三百七十五,Seven Hundred Fifty-four Thousand Three Hundred Seventy-five,七百五十四万三千七百五十。,0,Seven hundred fifty-four thousand three hundred seventy-five.,1
identity,254315000,二亿五千四百三十一万五千,Two Hundred Fifty-four Million Three Hundred Fifteen Thousand,两百五十四亿三千一百五十万。,0,Two hundred fifty-four million three hundred fifteen thousand.,1
identity,4036005,四百零三万六千零五,Four Million Thirty-six Thousand Five,四百零三万六千零五。,1,Four million thirty-six thousand and five.,1
identity,3605007,三百六十万五千零七,Three Million Six Hundred Five Thousand Seven,三百六十万五千零七。,1,Three million six hundred five thousand seven.,1
identity,2064000000,二十亿六千四百万,Two Billion Sixty-four Million,‘2064000000’读作“二十亿六千四百万”。,1,Two billion sixty-four million.,1
identity,700200000,七亿零二十万,Seven Hundred Million Two Hundred Thousand,七亿零二十万。,1,Seven hundred million two hundred thousand.,1
subtraction,62034999,六千二百零三万四千九百九十九,Sixty-two Million Thirty-four Thousand Nine Hundred Ninety-nine,六千二百零三万四千九百九十九。,1,Sixty-two million thirty-four thousand nine hundred ninety-nine.,1
subtraction,60030199,六千零三万零一百九十九,Sixty Million Thirty Thousand One Hundred Ninety-nine,六千零三十万一千九百九十九。,0,Sixty million thirty thousand one hundred ninety-nine.,1
subtraction,60000204,六千万零二百零四,Sixty Million Two Hundred Four,六千零二十万二百零四。,0,Sixty million two hundred four.,1
subtraction,62035199,六千二百零三万五千一百九十九,Sixty-two Million Thirty-five Thousand One Hundred Ninety-nine,六千二百零三万五千一百九十九。,1,Sixty-two million thirty-five thousand one hundred ninety-nine.,1
subtraction,60030004,六千零三万零四,Sixty Million Thirty Thousand Four,六千零三十万零四。,0,Sixty million thirty thousand four.,1
subtraction,60030204,六千零三万零二百零四,Sixty Million Thirty Thousand Two Hundred Four,六千零三十万二千零四。,0,Sixty million thirty thousand two hundred four.,1
subtraction,4085999,四百零八万五千九百九十九,Four Million Eighty-five Thousand Nine Hundred Ninety-nine,四百零八万五千九百九十九。,1,Four million eighty-five thousand nine hundred ninety-nine.,1
