book,chapter,id,problem,problem_ancient,problem_modern,answer,explanation,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一〕,今有田广十五步，从十六步。问：为田几何？,今有田广十五步，从十六步。问：为田几何？,现有一块田，宽十五步，长十六步。问：这田有多大？,一亩。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二〕,又有田广十二步，从十四步。问：为田几何？,又有田广十二步，从十四步。问：为田几何？,又有一块田，它的宽是十二步，长是十四步。问：这田的面积是多少？,一百六十八步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三〕,今有田广一里，从一里。问：为田几何？,今有田广一里，从一里。问：为田几何？,现在有一块田，宽一里，长一里。问：这田的面积是多少？,三顷七十五亩。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔四〕,又有田广二里，从三里。问：为田几何？,又有田广二里，从三里。问：为田几何？,还有一块土地，宽二里，长三里。问：这地的占地面积是多少？,二十二顷五十亩。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔五〕,今有十八分之十二。问：约之得几何？,今有十八分之十二。问：约之得几何？,现在有分数十八分之十二。问：约分后得几何？,三分之二。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔六〕,又有九十一分之四十九。问：约之得几何？,又有九十一分之四十九。问：约之得几何？,还有分数九十一分之四十九。问：约分后得到多少？,十三分之七。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔七〕,今有三分之一，五分之二。问：合之得几何？,今有三分之一，五分之二。问：合之得几何？,现在有两个数字，一个是三分之一，另一个是五分之二。问将它们相加得到多少？,十五分之十一。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔八〕,又有三分之二，七分之四，九分之五。问：合之得几何？,又有三分之二，七分之四，九分之五。问：合之得几何？,又有三分之二，七分之四，九分之五。请问它们的总和是多少？,一、六十三分之五十。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔九〕,又有二分之一，三分之二，四分之三，五分之四。问：合之得几何？,又有二分之一，三分之二，四分之三，五分之四。问：合之得几何？,二分之一，三分之二，四分之三，五分之四。请问它们的总和是多少？,二、六十分之四十三。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一〇〕,今有九分之八，减其五分之一。问：馀几何？,今有九分之八，减其五分之一。问：馀几何？,现在有九分之八，减去五分之一，问剩下多少？,四十五分之三十一。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一一〕,又有四分之三，减其三分之一。问：馀几何？,又有四分之三，减其三分之一。问：馀几何？,又有四分之三，减去三分之一。问剩下多少？,十二分之五。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一二〕,今有八分之五，二十五分之十六。问：孰多？多几何？,今有八分之五，二十五分之十六。问：孰多？多几何？,现有八分之五，二十五分之十六。问：哪个多？多多少？,二十五分之十六多，多二百分之三。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一三〕,又有九分之八，七分之六。问：孰多？多几何？,又有九分之八，七分之六。问：孰多？多几何？,又有九分之八，七分之六。请问哪个更多？多多少？,九分之八多，多六十三分之二。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一四〕,又有二十一分之八，五十分之十七。问：孰多？多几何？,又有二十一分之八，五十分之十七。问：孰多？多几何？,还有二十一分之八，五十分之十七。请问，哪个更多？多了多少？,二十一分之八多，多一千五十分之四十三。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一五〕,今有三分之一，三分之二，四分之三。问：减多益少，各几何而平？,今有三分之一，三分之二，四分之三。问：减多益少，各几何而平？,现在有三分之一、三分之二和四分之三。问：减少多的但增加少的，这些数如何变化才能使它们相等？,减四分之三者二，三分之二者一，并，以益三分之一，而各平于十二分之七。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一六〕,又有二分之一，三分之二，四分之三。问：减多益少，各几何而平？,又有二分之一，三分之二，四分之三。问：减多益少，各几何而平？,又有二分之一，三分之二，四分之三。问：减少多的但增加少的，这些数如何变化才能使它们相等？,减三分之二者一，四分之三者四，并以益二分之一，而各平于三十六分之二十三。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一七〕,今有七人，分八钱三分钱之一。问：人得几何？,今有七人，分八钱三分钱之一。问：人得几何？,现在有七个人平分八又三分之一钱。问：每个人各得到多少钱？,人得一钱、二十一分钱之四。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一八〕,又有三人，三分人之一，分六钱三分钱之一，四分钱之三。问：人得几何？,又有三人，三分人之一，分六钱三分钱之一，四分钱之三。问：人得几何？,有三又三分之一个人，分六又三分之一和四分之三钱。问：这三个人分得的钱数各是多少？,人得二钱、八分钱之一。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔一九〕,今有田广七分步之四，从五分步之三。问：为田几何？,今有田广七分步之四，从五分步之三。问：为田几何？,现在有一个田，它的宽是七分之四步，长是五分之三步。问：这个田的大小是多少？,三十五分步之十二。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二〇〕,又有田广九分步之七，从十一分步之九。问：为田几何？,又有田广九分步之七，从十一分步之九。问：为田几何？,还有一块田，它的宽是九分之七步，长十一分之九步。问：这田的面积是多少？,十一分步之七。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二一〕,又有田广五分步之四，从九分步之五，问：为田几何？,又有田广五分步之四，从九分步之五，问：为田几何？,还有一块田，它的宽是五分之四步，长是九分之五步，问这田的面积是多少？,九分步之四。,,,,,,,
