,problem,problem_ancient,problem_modern
0,今有田广十五步，从十六步。问：为田几何？,今有田广十五步，从十六步。问：为田几何？,现有一块田，宽十五步，长十六步。问：这田有多大？
1,又有田广十二步，从十四步。问：为田几何？,又有田广十二步，从十四步。问：为田几何？,又有一块田，它的宽是十二步，长是十四步。问：这田的面积是多少？
2,今有田广一里，从一里。问：为田几何？,今有田广一里，从一里。问：为田几何？,现在有一块田，宽一里，长一里。问：这田的面积是多少？
3,又有田广二里，从三里。问：为田几何？,又有田广二里，从三里。问：为田几何？,还有一块土地，宽二里，长三里。问：这地的占地面积是多少？
4,今有十八分之十二。问：约之得几何？,今有十八分之十二。问：约之得几何？,现在有分数十八分之十二。问：约分后得几何？
5,又有九十一分之四十九。问：约之得几何？,又有九十一分之四十九。问：约之得几何？,还有分数九十一分之四十九。问：约分后得到多少？
6,今有三分之一，五分之二。问：合之得几何？,今有三分之一，五分之二。问：合之得几何？,现在有两个数字，一个是三分之一，另一个是五分之二。问将它们相加得到多少？
7,又有三分之二，七分之四，九分之五。问：合之得几何？,又有三分之二，七分之四，九分之五。问：合之得几何？,又有三分之二，七分之四，九分之五。请问它们的总和是多少？
8,又有二分之一，三分之二，四分之三，五分之四。问：合之得几何？,又有二分之一，三分之二，四分之三，五分之四。问：合之得几何？,二分之一，三分之二，四分之三，五分之四。请问它们的总和是多少？
9,今有九分之八，减其五分之一。问：馀几何？,今有九分之八，减其五分之一。问：馀几何？,现在有九分之八，减去五分之一，问剩下多少？
10,又有四分之三，减其三分之一。问：馀几何？,又有四分之三，减其三分之一。问：馀几何？,又有四分之三，减去三分之一。问剩下多少？
11,今有八分之五，二十五分之十六。问：孰多？多几何？,今有八分之五，二十五分之十六。问：孰多？多几何？,现有八分之五，二十五分之十六。问：哪个多？多多少？
12,又有九分之八，七分之六。问：孰多？多几何？,又有九分之八，七分之六。问：孰多？多几何？,又有九分之八，七分之六。请问哪个更多？多多少？
13,又有二十一分之八，五十分之十七。问：孰多？多几何？,又有二十一分之八，五十分之十七。问：孰多？多几何？,还有二十一分之八，五十分之十七。请问，哪个更多？多了多少？
14,今有三分之一，三分之二，四分之三。问：减多益少，各几何而平？,今有三分之一，三分之二，四分之三。问：减多益少，各几何而平？,现在有三分之一、三分之二和四分之三。问：减少多的但增加少的，这些数如何变化才能使它们相等？
15,又有二分之一，三分之二，四分之三。问：减多益少，各几何而平？,又有二分之一，三分之二，四分之三。问：减多益少，各几何而平？,又有二分之一，三分之二，四分之三。问：减少多的但增加少的，这些数如何变化才能使它们相等？
16,今有七人，分八钱三分钱之一。问：人得几何？,今有七人，分八钱三分钱之一。问：人得几何？,现在有七个人平分八又三分之一钱。问：每个人各得到多少钱？
17,又有三人，三分人之一，分六钱三分钱之一，四分钱之三。问：人得几何？,又有三人，三分人之一，分六钱三分钱之一，四分钱之三。问：人得几何？,有三又三分之一个人，分六又三分之一和四分之三钱。问：这三个人分得的钱数各是多少？
18,今有田广七分步之四，从五分步之三。问：为田几何？,今有田广七分步之四，从五分步之三。问：为田几何？,现在有一个田，它的宽是七分之四步，长是五分之三步。问：这个田的大小是多少？
19,又有田广九分步之七，从十一分步之九。问：为田几何？,又有田广九分步之七，从十一分步之九。问：为田几何？,还有一块田，它的宽是九分之七步，长十一分之九步。问：这田的面积是多少？
20,又有田广五分步之四，从九分步之五，问：为田几何？,又有田广五分步之四，从九分步之五，问：为田几何？,还有一块田，它的宽是五分之四步，长是九分之五步，问这田的面积是多少？
21,今有田广三步、三分步之一，从五步、五分步之二。问：为田几何？,今有田广三步、三分步之一，从五步、五分步之二。问：为田几何？,现有一块田，宽为三又三分之一步；长五又五分之二步。问：这块田有多大？
22,又有田广七步、四分步之三，从十五步、九分步之五。问：为田几何？,又有田广七步、四分步之三，从十五步、九分步之五。问：为田几何？,这里有一块田，它的宽是七又四分之三步，长十五又九分之五步。问：这田的面积是多少？
23,又有田广十八步、七分步之五，从二十三步、十一分步之六。问：为田几何？,又有田广十八步、七分步之五，从二十三步、十一分步之六。问：为田几何？,一块田，宽度为十八又七分之五步，长度是二十三又十一分之六步。问：这块田的面积是多少？
24,今有圭田广十二步，正从二十一步。问：为田几何？,今有圭田广十二步，正从二十一步。问：为田几何？,现在有一块等腰三角形田，它的宽度是十二步，长度是二十一步。问：这田的面积是多少？
25,又有圭田广五步、二分步之一，从八步、三分步之二。问：为田几何？,又有圭田广五步、二分步之一，从八步、三分步之二。问：为田几何？,现在有一块等腰三角形田，它的宽度是五又二分之一步，长度是八又三分之二步。问：这田的面积是多少？
26,今有邪田，一头广三十步，一头广四十二步，正从六十四步。问：为田几何？,今有邪田，一头广三十步，一头广四十二步，正从六十四步。问：为田几何？,现在有一个直角梯形田，其中一面宽三十步，另外一面宽四十二步，高六十四步。问这个田的面积是多少？
27,又有邪田，正广六十五步，一畔从一百步，一畔从七十二步。问：为田几何？,又有邪田，正广六十五步，一畔从一百步，一畔从七十二步。问：为田几何？,还有一块直角梯形田，它的正面宽六十五步，一畔长一百步，另一畔长七十二步。问：这田的面积是多少？
28,今有箕田，舌广二十步，踵广五步，正从三十步。问：为田几何？,今有箕田，舌广二十步，踵广五步，正从三十步。问：为田几何？,现在有一片梯形田，上底宽二十步，下底宽五步，整个田块的高为三十步。问：这片田的面积是多少？
29,又有箕田，舌广一百一十七步，踵广五十步，正从一百三十五步。问：为田几何？,又有箕田，舌广一百一十七步，踵广五十步，正从一百三十五步。问：为田几何？,还有一片梯形田，它的上底宽一百一十七步，下底宽五十步，高一百三十五步。问占地面积是多少？
30,今有圆田，周三十步，径十步。问：为田几何？,今有圆田，周三十步，径十步。问：为田几何？,现在有一个圆形的农田，它的周长是三十步，直径是十步。请问这个农田的面积是多少？
31,又有圆田，周一百八十一步，径六十步三分步之一。问：为田几何？,又有圆田，周一百八十一步，径六十步三分步之一。问：为田几何？,此外，还有一个圆形的农田，它的周长为一百八十步，直径为六十又三分之一步。请问这个农田有多大？
32,今有宛田，下周三十步，径十六步。问：为田几何？,今有宛田，下周三十步，径十六步。问：为田几何？,现在有一个半圆形田，它的下周长是三十步，直径是十六步。问：这个田的面积是多少？
33,又有宛田，下周九十九步，径五十一步。问：为田几何？,又有宛田，下周九十九步，径五十一步。问：为田几何？,半圆形田的下周长为九十九步，直径为五十一步。问：田的面积是多少？
34,今有弧田，弦三十步，矢十五步。问：为田几何？,今有弧田，弦三十步，矢十五步。问：为田几何？,现在有一个弓形田，弦长为三十步，矢长为十五步，问这个田的大小是多少？
35,又有弧田，弦七十八步、二分步之一，矢十三步、九分步之七。问：为田几何？,又有弧田，弦七十八步、二分步之一，矢十三步、九分步之七。问：为田几何？,还有弓形田，弦长为七十八又二分之一步；矢长为十三又九分之七步。问：这田多大？
36,今有环田，中周九十二步，外周一百二十二步，径五步。问：为田几何？,今有环田，中周九十二步，外周一百二十二步，径五步。问：为田几何？,现在有一个环形的农田，其中内圆周长为九十二步，外圆周长为一百二十二步，内外径之差为五步。问这个农田的面积是多少？
37,又有环田，中周六十二步、四分步之三，外周一百一十三步、二分步之一，径十二步、三分步之二。问：为田几何？,又有环田，中周六十二步、四分步之三，外周一百一十三步、二分步之一，径十二步、三分步之二。问：为田几何？,又有一片环状的农田，内圆周长有六十二又四分之三步，外圆周长一百一十三又二分之一步。请问这片农田的面积是多少？
38,今有粟一斗，欲为粝米。问︰得几何？,今有粟一斗，欲为粝米。问︰得几何？,现在有一斗栗，想将其制作粝米。请问能够收获多少？
39,今有粟二斗一升，欲为粺米。问︰得几何？,今有粟二斗一升，欲为粺米。问︰得几何？,现在有二斗一升的粟，想要用来制作粺米。请问能够得到粺多少？
40,今有粟四斗五升，欲为凿米。问︰得几何？,今有粟四斗五升，欲为凿米。问︰得几何？,现在有四斗五升的栗米，想要用来制作凿米。问总共能够得到多少？
41,今有粟七斗九升，欲为御米。问︰得几何？,今有粟七斗九升，欲为御米。问︰得几何？,现在有七斗九升的粟，想用作御米。问能够得到多少？
42,今有粟一斗，欲为小䵂。问︰得几何？,今有粟一斗，欲为小䵂。问︰得几何？,现在有一斗栗，想要制作小䵂。问：能够有多少？
43,今有粟九斗八升，欲为大䵂。问︰得几何？,今有粟九斗八升，欲为大䵂。问︰得几何？,现在有九斗八升的粟，想用它来制作大䵂。问能得到多少？
44,今有粟二斗三升，欲为粝饭。问︰得几何？,今有粟二斗三升，欲为粝饭。问︰得几何？,现有二斗三升的粟，想用来制作一顿粝饭。请问能制作出多少粝饭呢？
